Web Search interest: dont smile
Worldwide; Jul 2011 - Jun 2014

Interest over time
Week,dont smile
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,50
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,62
2011-10-02 - 2011-10-08,47
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,42
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,47
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,36
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,40
2012-02-26 - 2012-03-03,43
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,36
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,100
2012-04-15 - 2012-04-21,66
2012-04-22 - 2012-04-28,72
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,60
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,55
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,43
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,43
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,35
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,38
2012-12-09 - 2012-12-15,36
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,40
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,31
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,30
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,35
2013-07-07 - 2013-07-13,34
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,27
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,39
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,39
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,49
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,33
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,35
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,29
2014-03-09 - 2014-03-15,26
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,31
2014-04-13 - 2014-04-19,30
2014-04-20 - 2014-04-26,36
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,28
