Web Search interest: rickrolld
Worldwide; May 2007 - Apr 2010

Interest over time
Month,rickrolld
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,100
2008-12,89
2009-01,89
2009-02,89
2009-03,89
2009-04,89
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,73
2009-12,68
2010-01,68
2010-02,0
2010-03,0
2010-04,0









