Web Search interest: marijuana card
Worldwide; Sep 2011 - Aug 2014

Interest over time
Week,marijuana card
arizona medical marijuana,5
medical marijuana washington,5
medical marijuana doctors,5
medical marijuana oregon,5
marijuana dispensaries,5
medical marijuana dispensaries,5
medical marijuana doctor,5
marijuana card az,5
medicinal marijuana,5
medicinal marijuana card,5
medical marijuana dispensary,5
medical marijuana license,5
medical marijuana states,5
medical marijuana cards,0
massachusetts marijuana card,0
medical marijuana.com,0
medical marijuana massachusetts,0
illinois medical card,0
medical marijuana illinois,0
medical marijuana evaluations,0
medical marijuana nevada,0
california marijuana laws,0
medical marijuana prescription,0



Rising searches for marijuana card
massachusetts marijuana card,Breakout
medical marijuana massachusetts,Breakout
medical marijuana.com,+550%
illinois medical card,+350%
medical marijuana illinois,+350%
marijuana card az,+160%
arizona marijuana card,+110%
arizona medical marijuana,+100%
medical marijuana evaluations,+50%



