Web Search interest: heart king
Worldwide; 2010-2012

Interest over time
Week,heart king
king lion heart,15
lion heart,15
strong heart,15
star king,10
king 2 hearts,10
axwell,10
king of hearts,5
king two heart,5
king of anything,5
strong heart vietsub,5
king richard,5
vietsub star king,5
busted heart,5
king size heart,5
kaleidoscope heart,0
busted heart lyrics,0



Rising searches for heart king
axwell,Breakout
busted heart,Breakout
king 2 hearts,Breakout
king of anything,Breakout
strong heart vietsub,Breakout
vietsub star king,Breakout
strong heart,+950%
king 2 heart,+650%
star king,+350%
king two heart,+150%



