Web Search interest: lazy sunday
Worldwide; Feb 2007 - Jan 2010

Interest over time
Week,lazy sunday
lazy sunday hulu,5
natalie portman rap,5
natalie portman snl,5
original lazy sunday,5
like a boss,5
lazy sundays,5
lazy sunday download,5
chris parnell,5
lazy sunday 2,5
dear sister,5
iran so far,5
snl digital shorts,5
dear sister snl,5



Rising searches for lazy sunday
lazy sunday hulu,Breakout
my lazy sunday,+800%
the lonely island,+500%
lonely island,+300%
original lazy sunday,+300%
andy samberg,+200%
lazy sunday youtube,+160%
lazy sunday samberg,+150%
snl digital short,+140%
small faces,+120%



