Web Search interest: monkeys
Worldwide; May 2009 - Apr 2012

Interest over time
Week,monkeys
Japan,7
Turkey,5
China,2


Top cities for monkeys
City,monkeys
Manchester (United Kingdom),100
Bucharest (Romania),93
Edinburgh (United Kingdom),89
Birmingham (United Kingdom),88
Brentford (United Kingdom),76
Dublin (Ireland),67
London (United Kingdom),62
Los Angeles (United States),55
Mexico City (Mexico),52
Chicago (United States),51
Houston (United States),50
Seattle (United States),49
New York (United States),47
San Francisco (United States),47
Toronto (Canada),46



Top searches for monkeys
arctic,100
arctic monkeys,100
the monkeys,50
monkey,20
the arctic monkeys,15
sea monkeys,15
arctic monkeys lyrics,10
artic monkeys,10
little monkeys,10
12 monkeys,10
monkeys for sale,5
three monkeys,5
monkeys pictures,5
3 monkeys,5
baby monkeys,5
creative monkeys,5
100 monkeys,5
five little monkeys,5
twelve monkeys,5
cheeky monkeys,5
pictures of monkeys,5
arctic monkeys 2011,5
humbug arctic monkeys,5
spider monkeys,5
finger monkeys,5
arctic monkeys tour,5
code monkeys,0
funny monkeys,0
pet monkeys,0
space monkeys,0
arctic monkeys torrent,0
alex turner,0
the artic monkeys,0
flying monkeys,0
5 little monkeys,0
arctic monkeys wiki,0
capuchin monkeys,0
cartoon monkeys,0
cute monkeys,0
sock monkeys,0
types of monkeys,0
funky monkeys,0
snow monkeys,0
monkeys paw,0
the strokes,0
marmoset monkeys,0
arctic monkeys discografia,0
monkies,0
barrel of monkeys,0
arctic monkeys 505,0



Rising searches for monkeys
arctic monkeys 2011,Breakout
humbug arctic monkeys,Breakout
creative monkeys,+3,750%
finger monkeys,+400%
100 monkeys,+200%
five little monkeys,+130%
little monkeys,+100%
arctic monkeys tour,+80%
3 monkeys,+40%
arctic monkeys torrent,+40%



