Web Search interest: killed captain alex
Worldwide; 2010-2012

Interest over time
Month,killed captain alex
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,18
2010-08,100
2010-09,26
2010-10,17
2010-11,15
2010-12,13
2011-01,11
2011-02,12
2011-03,15
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,9
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0









