Web Search interest: finna
Worldwide; Oct 2010 - Sep 2013

Interest over time
Week,finna
2010-10-03 - 2010-10-09,22
2010-10-10 - 2010-10-16,21
2010-10-17 - 2010-10-23,22
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,20
2010-11-07 - 2010-11-13,20
2010-11-14 - 2010-11-20,20
2010-11-21 - 2010-11-27,25
2010-11-28 - 2010-12-04,24
2010-12-05 - 2010-12-11,23
2010-12-12 - 2010-12-18,100
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,55
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,32
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,32
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,28
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,30
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,27
2011-04-17 - 2011-04-23,27
2011-04-24 - 2011-04-30,24
2011-05-01 - 2011-05-07,24
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,24
2011-06-05 - 2011-06-11,23
2011-06-12 - 2011-06-18,25
2011-06-19 - 2011-06-25,20
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,24
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,22
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,23
2011-08-21 - 2011-08-27,22
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,24
2011-09-11 - 2011-09-17,19
2011-09-18 - 2011-09-24,19
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,19
2011-10-09 - 2011-10-15,26
2011-10-16 - 2011-10-22,22
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,21
2011-11-06 - 2011-11-12,27
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,26
2011-11-27 - 2011-12-03,26
2011-12-04 - 2011-12-10,29
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,26
2012-01-01 - 2012-01-07,25
2012-01-08 - 2012-01-14,24
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,23
2012-02-05 - 2012-02-11,21
2012-02-12 - 2012-02-18,23
2012-02-19 - 2012-02-25,23
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,23
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,19
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,24
2012-05-13 - 2012-05-19,20
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,19
2012-07-15 - 2012-07-21,20
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,25
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,23
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,26
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,25
2012-12-09 - 2012-12-15,27
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,26
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,27
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,23
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,23
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,20
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,24


Top regions for finna
Region,finna
Iceland,100
Sweden,5
United States,1


Top cities for finna
City,finna
Reykjavik (Iceland),100
Stockholm (Sweden),5
Dublin (Ireland),2
Chicago (United States),2
San Francisco (United States),1
Los Angeles (United States),1
New York (United States),1



Top searches for finna
finna try,100
who finna try,95
who you finna,85
i finna,45
finna urban,30
finna urban dictionary,25
im finna,20
finna meaning,20
what is finna,10
finna golf,10
finna fail,5
finna definition,5
finna slang,5
przygody hucka finna,5
przygody hucka,5
define finna,5



Rising searches for finna
define finna,Breakout
finna meaning,Breakout
finna try,Breakout
who finna try,Breakout
who you finna,Breakout
finna urban dictionary,+350%
finna urban,+250%
what is finna,+90%
finna definition,+60%



