Web Search interest: hand shake
Worldwide; Mar 2010 - Feb 2013

Interest over time
Week,hand shake
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,71
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,48
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,57
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,48
2010-05-16 - 2010-05-22,61
2010-05-23 - 2010-05-29,52
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,48
2010-06-20 - 2010-06-26,100
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,45
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,62
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,56
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,59
2010-11-07 - 2010-11-13,77
2010-11-14 - 2010-11-20,72
2010-11-21 - 2010-11-27,52
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,59
2010-12-12 - 2010-12-18,55
2010-12-19 - 2010-12-25,53
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,63
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,55
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,55
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,55
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,58
2011-04-17 - 2011-04-23,55
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,49
2011-07-10 - 2011-07-16,47
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,49
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,58
2011-09-18 - 2011-09-24,59
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,54
2011-10-16 - 2011-10-22,83
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,63
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,58
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,79
2012-01-29 - 2012-02-04,66
2012-02-05 - 2012-02-11,98
2012-02-12 - 2012-02-18,94
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,61
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,52
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,61
2012-09-09 - 2012-09-15,71
2012-09-16 - 2012-09-22,61
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,54
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,53
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,52
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,49
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,52
2013-02-10 - 2013-02-16,69
2013-02-17 - 2013-02-23,81
2013-02-24 - 2013-03-02,75


Top regions for hand shake
Region,hand shake
India,100
United States,99
United Kingdom,84
Canada,83


Top cities for hand shake
City,hand shake
Singapore (Singapore),100
Los Angeles (United States),93
Chicago (United States),78
New York (United States),74
Toronto (Canada),68
New Delhi (India),62
London (United Kingdom),59



Top searches for hand shake
shake the hand,100
shake a hand,75
shake my hand,70
shake your hand,40
shake hands,35
handshake,35
left hand shake,20
hand shaking,15
hand shakes,10
obama hand shake,5
suarez hand shake,5
secret hand shake,5
shake hand images,5
business hand shake,5
shake hand pictures,5
shake hand picture,5
golden shake hand,5
hand shake logo,5
three hand shake,5



Rising searches for hand shake
suarez hand shake,Breakout
left hand shake,+50%
shake my hand,+50%



