Web Search interest: johnson
Worldwide; Jul 2010 - Jun 2013

Interest over time
Week,johnson
2010-07-04 - 2010-07-10,73
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,71
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,67
2010-08-08 - 2010-08-14,68
2010-08-15 - 2010-08-21,77
2010-08-22 - 2010-08-28,68
2010-08-29 - 2010-09-04,65
2010-09-05 - 2010-09-11,65
2010-09-12 - 2010-09-18,69
2010-09-19 - 2010-09-25,67
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,67
2010-10-10 - 2010-10-16,66
2010-10-17 - 2010-10-23,66
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,63
2010-11-14 - 2010-11-20,73
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,79
2010-12-05 - 2010-12-11,64
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,64
2011-01-16 - 2011-01-22,65
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,65
2011-03-13 - 2011-03-19,60
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,66
2011-04-24 - 2011-04-30,68
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,70
2011-05-22 - 2011-05-28,69
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,62
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,64
2011-07-17 - 2011-07-23,64
2011-07-24 - 2011-07-30,66
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,65
2011-08-21 - 2011-08-27,65
2011-08-28 - 2011-09-03,68
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,63
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,66
2011-11-06 - 2011-11-12,66
2011-11-13 - 2011-11-19,63
2011-11-20 - 2011-11-26,58
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,56
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,63
2012-01-15 - 2012-01-21,61
2012-01-22 - 2012-01-28,61
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,63
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,66
