Web Search interest: vote
Worldwide; Mar 2007 - Feb 2010

Interest over time
Week,vote
Richardson (United States),84
St. Louis (United States),84
Philadelphia (United States),83
Los Angeles (United States),83
Chicago (United States),82



Top searches for vote
vote for,100
register vote,60
register to vote,60
voting,35
election,30
how to vote,25
vote 2008,25
vote obama,25
where to vote,20
electoral vote,20
vote the worst,15
vote for worst,15
right to vote,15
women vote,15
vote online,15
popular vote,15
senate vote,15
vote registration,10
registered to vote,10
vote results,10
why vote,10
california vote,10
us vote,10
house vote,10
vote american idol,10
droit de vote,10
mccain,10
vote texas,10
voter registration,10
vote early,5
la vote,5
can i vote,5
rock the vote,5
vote 2007,5
florida vote,5
polls,5
procuration vote,5
test vote,5
bailout vote,5
absentee vote,5
vote smart,5
election results,5
registering to vote,5
electoral college,5
popular vote 2008,5
health care vote,5
vote pa,5
vote for pedro,5
vote par procuration,5
bureau de vote,5



Rising searches for vote
vote 2008,+4,350%
vote obama,+3,500%
mccain,+2,300%
vote early,+150%
vote for worst,+150%
vote the worst,+150%
can i vote,+140%
registered to vote,+110%
vote 2007,+110%
vote online,+70%



