10,10,5,4,4,3,3,3,3,2,3,3,3,3,2,4,3,2,3
10,10,4,2,4,1,1,1,1,1,1,1,0,1,0,1,0,0,0
10,0,10,10,3,4,3,4,4,3,4,4,4,2,4,3,3,5,4
10,10,5,4,3,2,2,4,3,2,2,2,1,1,1,1,1,1,3
8,7,2,5,4,3,3,3,4,5,4,0,2,4,5,5,0,2,0
10,8,3,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,10,3,2,3,7,4,2,3,2,3,2,2,3,3,2,3,4,5
10,8,6,6,4,10,4,9,9,7,8,1,1,3,2,2,1,1,1
10,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
10,10,6,7,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2
10,10,5,4,4,3,3,3,2,3,3,3,2,2,2,2,2,2,1
10,8,4,4,2,2,1,0,2,2,2,3,0,2,1,1,1,0,1
10,8,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,8,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1
9,10,5,0,4,3,2,4,4,4,5,4,4,2,4,3,4,3,4
10,6,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,7,3,3,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1
10,7,2,1,2,3,1,2,0,2,3,0,1,1,1,0,0,1,1
10,9,4,3,2,1,2,1,1,1,1,1,1,1,0,1,0,1,0
10,10,6,2,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1
10,9,10,10,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0
10,7,3,2,1,1,1,1,4,6,4,2,2,2,2,2,1,1,1
10,10,5,4,4,3,5,3,2,2,1,1,1,1,1,1,1,1,1
10,8,4,6,4,4,4,5,3,4,3,3,3,3,2,1,2,2,2
10,10,3,3,3,3,4,4,6,5,6,5,5,5,5,4,4,4,4
10,10,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,6,2,2,1,1,1,4,2,2,1,1,1,1,0,1,1,1,1
10,9,4,3,4,3,4,6,3,3,3,3,2,2,1,2,1,2,1
6,8,4,5,7,0,0,0,6,6,5,3,4,7,5,7,4,7,6
