0,0,0,0,10,0,10,0,9,0,8,10,10,7,4,2,3,4,2
10,7,4,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1
10,7,5,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
10,7,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,10,9,6,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1
0,0,10,10,6,4,5,4,2,3,2,3,2,2,2,2,2,1,1
10,10,6,4,3,3,3,2,2,2,1,1,3,1,1,1,1,1,1
10,4,4,3,1,1,1,1,1,1,0,1,1,0,0,0,0,2,1
10,6,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1
10,7,5,5,3,3,3,2,1,2,2,1,1,1,1,1,1,1,1
10,3,3,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1
10,7,6,3,3,8,9,8,7,7,7,6,6,5,5,4,5,4,4
10,8,5,3,3,2,2,2,1,1,2,1,1,1,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,5,4,2,2,2,2,5,2,2,2,1,1,1,1,1,1,1
0,0,0,0,10,10,10,4,3,3,2,2,1,1,1,1,1,1,1
10,10,7,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1
10,4,2,3,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0
10,10,7,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,10,0,0,10,0,0,0,0,9,0,0,0,10
10,9,10,10,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0
10,9,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4,2,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0
10,7,3,2,1,1,1,1,4,6,4,2,2,2,2,2,1,1,1
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,7,8,7
10,8,5,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
