"video_id","video_title","view_count","category","duration_in_seconds","upload_time","captured_time","avg_rate","max_rate","min_rate","num_raters","num_dislikes","num_likes","uploader_id","uploader_name","uploader_url","video_desp"
"m2JTFyg2hcU","Rihanna feat chris brown - Birthday Cake Official Full version (remix) new song 2012 diamonds","18758390","Music","220","2012-02-21T01:20:13.000Z","01/18/13","4.7178783","5.0","1.0","38494","2715","35779","6V1TKSQIUViASgE3_RrGEA","PoracciaMusic","https://gdata.youtube.com/feeds/api/users/PoracciaMusic","no copyright infragment @rihanna No Copyright's ! All copyright's is Rihanna and Chris brown. Rihanna feat chris brown - birthday cake Official Full version (remix) thsi is diamonds chapter 7 rihanna official remix version talk that talk download diamonds new single september 17 leak you youtube servizio di condivisione unapologetic news video"
"m6urbZyHgO4","Usher - There Goes My Baby","17532640","Music","286","2010-07-12T18:49:27.000Z","01/18/13","4.892164","5.0","1.0","45625","1230","44395","U8hEdjK8u27TM7KA8JVIEw","UsherVEVO","https://gdata.youtube.com/feeds/api/users/UsherVEVO","Music video by Usher performing There Goes My Baby. (C) 2010 LaFace Records, a unit of Sony Music Entertainment"
"mgEixhE3Oms","DEV - In The Dark","49691392","Music","225","2011-07-08T07:00:00.000Z","01/18/13","4.763311","5.0","1.0","207648","12287","195361","_ZTX-lwUaoeK-l9gmMB4EA","DevVEVO","https://gdata.youtube.com/feeds/api/users/DevVEVO","New Album Early 2012  Music video by DEV performing In The Dark. (C) 2011 Universal Republic Records, a division of UMG Recordings, Inc."
"mqWq_48LxWQ","Mike Posner - Cooler Than Me","34717157","Music","276","2010-05-26T22:31:33.000Z","01/18/13","4.8636923","5.0","1.0","98571","3359","95212","tNFd4yNZvk3ZnnK96zU13g","MikePosnerVEVO","https://gdata.youtube.com/feeds/api/users/MikePosnerVEVO","Music video by Mike Posner performing Cooler Than Me. (C) 2010 J Records, a unit of Sony Music Entertainment"
"mXvmSaE0JXA","Ke$ha - We R Who We R","52774410","Music","213","2010-12-01T23:25:37.000Z","01/18/13","4.4741096","5.0","1.0","145460","19124","126336","9HnKwLco0wfmmHJT4KOjJw","keshaVEVO","https://gdata.youtube.com/feeds/api/users/keshaVEVO","Music video by Ke$ha performing We R Who We R. (C) 2010 RCA Records, a unit of Sony Music Entertainment"
"MzCLLHscMOw","The Script - Breakeven","20302346","Music","257","2009-10-25T06:45:54.000Z","01/18/13","4.9650087","5.0","1.0","92366","808","91558","afVZzwtU8XUWbXGs4LYtdg","TheScriptVEVO","https://gdata.youtube.com/feeds/api/users/TheScriptVEVO","Music video by The Script performing Breakeven. (C) 2008 Sony BMG Music Entertainment (UK) Limited"
"N1GfEl8XUc4","Kenny Chesney - Come Over","7524214","Music","248","2012-06-05T23:45:07.000Z","01/18/13","4.8892145","5.0","1.0","32062","888","31174","2RaZgpzFbucwZ1ud6i7q-w","KennyChesneyVEVO","https://gdata.youtube.com/feeds/api/users/KennyChesneyVEVO","Music video by Kenny Chesney performing Come Over. (C) 2012 Blue Chair Records, LLC"
"N6O2ncUKvlg","Nelly - Just A Dream","136924687","Music","243","2010-09-21T20:14:11.000Z","01/18/13","4.9304867","5.0","1.0","401706","6981","394725","zQNgpWWPLuoAC6zA3VejzA","NellyVEVO","https://gdata.youtube.com/feeds/api/users/NellyVEVO","Music video by Nelly performing Just A Dream. (C) 2010 Universal Motown Records, a division of UMG Recordings, Inc."
"nCf2PoTuh4Q","Blake Shelton - God Gave Me You (Official Video)","16184161","Music","252","2011-09-07T13:35:49.000Z","01/18/13","4.956652","5.0","1.0","84710","918","83792","9nxc-xiH1AnL9RGstfgurg","blakeshelton","https://gdata.youtube.com/feeds/api/users/blakeshelton","Get the official  God Gave Me You  T-shirt in Blake's YouTube store!: http://youtube.com/blakeshelton Red River Blue: http://budurl.com/redriverblue iTunes: http://budurl.com/blakedeluxe In Stores Now!  The official music video for Blake Shelton's  God Gave Me You  featuring Miranda Lambert.  http://www.blakeshelton.com"
"niqrrmev4mA","Lady Gaga - Alejandro","182814223","Music","524","2010-06-08T07:46:11.000Z","01/18/13","4.179209","5.0","1.0","418182","85810","332372","07Kxew-cMIaykMOkzqHtBQ","LadyGagaVEVO","https://gdata.youtube.com/feeds/api/users/LadyGagaVEVO","Music video by Lady Gaga performing Alejandro. (C) 2010 Interscope Records"
