6559,6886,7182,7326,7621,7921
10934,10934,10934,10934,10934,10936
24719,24748,24758,24780,24797,24821
63,63,63,63,63,63
28619,30022,31014,31487,32322,33105
96255,96558,96875,97030,97220,97437
11229,11339,11414,11456,11567,11646
56513,56544,56590,56607,56629,56670
6,6,6,6,6,6
14,15,15,15,15,15
4694,4713,4732,4741,4756,4765
1153297,1253675,1337352,1374404,1438579,1493573
2616674,2868055,3017683,3074721,3395762,4162979
266,266,266,266,266,266
51110,51145,51184,51203,51223,51252
788,789,791,793,793,795
6,6,6,6,6,6
12,12,12,12,12,12
2277815,2287172,2294124,2296277,2300511,2306521
39,39,39,39,39,39
8,8,8,8,8,8
12602,12633,12660,12670,12689,12702
4135,4143,4155,4163,4169,4179
238,242,242,242,243,247
506,507,509,509,509,509
21804,22035,22257,22378,22672,22948
3,3,3,3,3,3
0,0,0,0,0,0
3239,3239,3242,3242,3242,3242
1965293,1972305,1978583,1980740,1983629,1988060
111308,112456,113262,113722,114540,115432
264,264,264,264,265,265
163777,163806,163834,163854,163882,163905
12789,12947,13073,13120,13232,13257
13,13,13,13,13,13
2750,2756,2760,2764,2764,2766
1118932,1121060,1122769,1123426,1124791,1126336
2,3,3,3,3,3
129,130,130,130,130,130
0,0,0,0,0,0
4042,4043,4043,4043,4043,4043
4591,4592,4594,4594,4596,4596
316,317,322,322,322,322
10,10,10,10,10,10
0,0,0,0,0,0
55843,55888,55938,55952,55999,56032
52,52,52,52,52,52
8413,8415,8417,8419,8423,8428
6048,6086,6124,6140,6170,6209
46704,46709,46717,46723,46728,46736
9479,9682,9845,9941,10064,10237
4187,4191,4191,4195,4204,4209
71,71,71,71,71,71
234,234,234,234,234,234
1099,1099,1099,1099,1100,1100
15933,16067,16199,16297,16456,16631
2326,2332,2337,2343,2343,2345
10221,10288,10360,10401,10459,10522
4376701,4382772,4387106,4389940,4393570,4397670
1029234,1030249,1031489,1032032,1033196,1034280
10663,10694,10740,10766,10804,10833
6262,6286,6317,6329,6343,6370
8964,8994,9024,9046,9090,9149
4407,4419,4425,4430,4431,4437
19640,19658,19668,19673,19685,19691
1075,1078,1079,1082,1082,1083
26777,26882,26932,26971,27027,27046
1059,1059,1059,1059,1060,1060
4485,4496,4500,4503,4503,4512
153810,153861,153885,153917,153945,153982
15400,15419,15427,15438,15467,15503
26316,26525,26740,26908,27148,27334
637,637,637,637,638,638
103,129,144,155,162,178
147414,147463,147510,147532,147569,147606
64008,64085,64139,64168,64217,64284
28904,29873,30775,31248,31623,32030
9073,9254,9410,9462,9566,9701
42405,42449,42478,42498,42520,42544
80003,80442,80831,80992,81282,81590
1023,1025,1032,1034,1037,1040
29,29,29,29,29,30
21444,21462,21483,21496,21507,21526
2,2,2,2,2,2
329,332,334,334,336,339
11607,11665,11682,11690,11709,11724
0,0,0,0,0,0
17,17,17,17,17,18
6015,6015,6015,6015,6016,6016
24987,25097,25204,25239,25304,25367
55,55,55,55,55,55
550,550,553,553,553,554
249,254,254,254,258,260
16,16,16,16,16,16
104880,104885,104888,104890,104892,104897
3568,3578,3582,3582,3587,3595
64,64,64,64,64,64
1,2,2,2,2,2
276,276,278,278,278,278
152,152,152,153,153,153
703522,705944,708080,709200,711025,713103
38,38,38,38,38,38
23092,23240,23358,23433,23516,23608
2935,2966,2979,2996,3031,3056
2,2,2,2,2,2
3255,3265,3269,3269,3273,3277
396741,397411,397956,398246,398647,399176
1001,1003,1003,1003,1004,1005
2028,2028,2028,2028,2028,2028
59265,59521,59722,59853,60087,60313
41061,41120,41170,41198,41250,41294
3749,3749,3751,3751,3752,3754
119,119,119,119,119,119
440855,479132,506590,516470,530713,547378
20478,20652,20758,20803,20901,21005
202844,203239,203568,203703,203916,204175
0,0,0,0,0,0
449,476,494,503,533,561
244,248,249,251,253,256
41,41,41,41,41,41
2112,2112,2112,2112,2112,2112
32,32,32,32,32,32
2033599,2034924,2036182,2036879,2037915,2039161
1046771,1119540,1188523,1242781,1314481,1389590
283173,284397,285392,285824,286686,287566
711841,713254,714376,714897,715709,716799
34,35,35,35,35,35
0,0,0,0,0,0
27054,27068,27076,27078,27082,27093
578359,580522,583853,585300,587384,589909
3398,3398,3398,3398,3398,3398
1644874,1646074,1646998,1647602,1648428,1649328
14312,14337,14347,14355,14368,14376
32037,32076,32121,32139,32163,32193
778,778,778,778,778,778
17332,17403,17439,17450,17498,17546
1182,1185,1189,1190,1192,1198
83,83,83,83,83,84
27,27,27,27,27,27
74772,78953,82293,84698,87516,90504
69108,69267,69464,69573,69706,69862
221,221,221,221,224,224
2346,2347,2349,2348,2350,2350
791,791,793,793,797,798
48,48,48,48,48,48
11,11,11,11,11,11
38,39,39,39,39,39
21064,21221,21355,21458,21561,21704
0,0,0,0,0,0
38,40,39,40,40,40
93,94,94,94,95,95
400,402,404,406,406,407
5403,5404,5406,5406,5407,5411
52,52,52,52,52,52
7832,7841,7855,7859,7864,7868
847876,847940,847992,848008,848033,848100
12,12,12,12,12,12
730900,735648,739632,741269,744839,751130
4250057,4254386,4257910,4260170,4263483,4267189
26314,26316,26322,26324,26326,26332
3,3,3,3,3,3
41252,41259,41272,41283,41286,41293
39825,40022,40236,40341,40506,40716
2646,2652,2657,2661,2674,2684
9999371,10246533,10464591,10552063,10678402,10804033
1757,1812,1863,1886,1928,1967
563,563,563,563,563,563
5142,5142,5148,5148,5149,5149
879,882,886,888,890,897
10337,10532,10683,10746,10874,11009
1235611,1267001,1288786,1302247,1319971,1340283
2,2,2,2,2,2
0,0,0,0,0,0
69918,69923,69925,69925,69927,69931
130896,130957,131016,131042,131079,131136
669,671,673,677,682,688
44,44,44,44,44,44
22,22,22,22,22,22
1,1,1,1,1,1
12,12,12,12,12,12
70,70,71,71,71,71
15,15,15,15,15,15
23,23,23,23,23,23
391,391,393,394,394,394
0,0,0,0,0,0
5049,5049,5053,5053,5053,5054
4797,4796,4798,4800,4800,4803
169,169,170,171,173,173
197147,207000,215390,218799,223775,228215
502,504,505,506,506,506
60644,60735,60786,60817,60872,60938
96115,96277,96472,96583,96731,96898
1333,1337,1341,1341,1342,1347
555310,556178,557258,557749,558072,559532
963420,965304,966562,967206,968260,969547
11,11,11,11,11,11
0,0,0,0,0,0
4864931,4877330,4887364,4895479,4905587,4917814
72,72,72,72,72,72
