2396,2402,2403,2403,2403,2403
707512,769085,819405,848796,886446,940456
20738,21970,22803,23267,23796,24298
124111,124189,124203,124212,124225,124238
174725,183938,190333,193739,198377,203011
275481,276177,276717,277028,277416,277873
14112,14307,14366,14408,14449,14515
10419,10559,10631,10700,10776,10887
1054631,1132880,1181622,1203079,1240233,1364744
800340,831169,856565,865577,879824,895417
1122,1310,1368,1391,1428,1462
897114,897241,897327,897381,897465,897570
256315,256927,257402,257696,258349,259059
1319010,1385665,1405541,1416904,1432735,1456021
53943,56748,57785,58265,58789,59412
161603,166905,170202,171922,174170,176407
1450,1458,1465,1472,1481,1486
14544,15630,16210,16544,16910,17260
77726,80408,82202,82948,83655,84268
1452103,1481777,1503480,1517562,1536301,1563553
291052,303711,312794,317722,323485,329427
254157,264972,271607,274933,279162,283199
755648,758949,761537,762937,764536,766394
76164,76322,76446,76513,76608,76718
2056108,2245301,2357858,2395412,2432890,2472395
1495202,1666802,1787144,1857340,1926148,2008184
569935,613982,657208,665697,678535,694836
4346072,4349114,4351012,4352353,4354138,4356283
1293,1356,1371,1386,1406,1423
452775,706456,951027,1050452,1164454,1306752
657406,658227,658626,658889,659291,659764
847137,878341,900996,908264,917098,929234
244441,266156,277514,285995,293108,302522
102428,110025,115666,117325,119424,120922
254012,267380,275515,279197,283785,288179
34945,40014,41768,42895,44123,45844
39423,41718,43635,44522,45580,46697
74858,77961,80394,81236,82043,82845
1380388,1498834,1564527,1590842,1633402,1685787
149382,153807,156256,157093,158147,159379
6444811,6471610,6491314,6501100,6511945,6524564
48016083,53806674,57243331,59420616,62221008,67080512
902195,953050,982706,992500,1002585,1011919
7277,7375,7424,7468,7514,7564
1009168,1009752,1010138,1010333,1010564,1010841
5394,5440,5473,5492,5516,5543
581913,585192,586477,587554,588961,590147
1740846,1744093,1746574,1748520,1749124,1749480
118195,118996,119570,119885,120388,121116
11076,11313,11487,11610,11710,11901
706278,725464,740126,749721,761038,775126
5054963,5079613,5120375,5134398,5153876,5173938
208942,234937,248004,252367,257083,261645
19741,23214,25778,26634,27834,29223
84694,84927,85152,85283,85415,85550
171704,233213,271214,297302,319143,339378
84932,85568,86129,86286,86355,86689
348564,380783,416101,433090,448086,463363
269,269,269,269,269,269
32856993,32987209,33078814,33148652,33222826,33323153
21874,27677,32542,35472,40363,47515
38444,38468,38514,38531,38557,38577
79,81,81,81,81,81
21567,21658,21671,21680,21701,21710
49443,55305,61692,63187,64635,65792
6024,6100,6137,6165,6195,6222
3581,3642,3690,3714,3741,3797
21349,24439,26741,27831,30110,32403
397285,405992,428015,430503,433785,438396
69563,73273,76024,77505,79599,81892
19700,19721,19740,19753,19768,19781
231260,240292,245825,248682,252266,255743
50567,53790,56138,57175,58439,59530
9407266,9443012,9468628,9481609,9495951,9512628
513219,744593,821256,857354,902204,947916
248408,295058,312603,317522,323473,329670
3011,3085,3108,3121,3139,3151
1047901,1058871,1068066,1071029,1076596,1085120
57538,64465,67431,68863,70617,72253
173553,180315,185133,186463,188233,191156
69185,81784,91079,100129,112013,125383
1477512,1544456,1593711,1622613,1666075,1741315
309857,381587,410975,425975,446027,467126
3922336,4510395,4860351,4977110,5141636,5333476
115869,150393,157424,165683,178919,195822
173261,196449,212785,219811,225856,231424
37569,47221,53396,56017,58440,61423
806730,833452,842107,845013,848553,852972
26496,26557,26564,26566,26572,26590
109264,109417,109479,109502,109556,109625
602797,807759,953587,1036634,1129576,1252159
16868592,16882831,16892269,16900421,16909956,16923170
439575,457147,462337,465355,468101,470449
149253,156247,163148,172439,176008,179546
155582,182337,189033,196507,206230,214625
149600,160349,167642,171525,176610,182065
19768,24502,27016,28147,29498,30553
1923931,1953051,1971949,1979474,1987764,1998669
19331,19341,19344,19352,19356,19366
441176,465688,484205,491224,502037,513251
1565,1594,1624,1632,1632,1634
197,197,197,197,197,197
714932,845890,939073,980189,1031625,1094646
1805870,1926807,2012177,2053184,2100527,2159078
4364665,4371658,4376339,4380310,4384722,4390627
8133701,10446079,11690193,12522032,13312256,14117302
1234813,1345018,1427799,1457460,1504385,1564870
1525985,1537743,1545853,1550615,1556701,1565031
560654,586659,605597,611503,619749,631641
360062,370326,373396,375071,375898,376111
